;Nvg-sild-forecast, fangst i intermediær/assessment-år;;
;;;
year;assumed catch i forecast;reported catch (wg catch fra stock summary);side i wg-rapport (side i pdf-dok)
1996;1400000;1220283;75
1997;1500000;1426507;99
1998;1302001;1223131;103
1999;1301999;1235433;83
2000;1249999;1207201;77
2001;850000;766136;88
2002;850000;807795;112
2003;710000;789510;91
2004;825000;794066;91
2005;1000000;1003243;96
2006;967000;968958;101
2007;1280000;1266993;75
2008;1518000;1545656;474
2009;1643000;1687373;327
2010;1483000;1457014;351
2011;988000;992998;360
2012;833000;825999;358
2013;692000;684743;397
2014;436000;461306;419
